 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.569,0.150,0.153,0.509,0.673,0.680,0.250,0.000,0.091,0.627
model.000.01.pdb,0.103,0.422,0.625,0.110,0.069,0.097,0.458,0.254,0.580,0.026
model.000.02.pdb,0.543,0.176,0.194,0.426,0.553,0.562,0.294,0.000,0.119,0.480
model.000.03.pdb,0.609,0.312,0.149,0.667,0.551,0.625,0.302,0.074,0.114,0.426
model.000.04.pdb,0.542,0.260,0.185,0.455,0.490,0.529,0.353,0.074,0.130,0.375
model.000.05.pdb,0.080,0.373,0.647,0.074,0.064,0.090,0.407,0.270,0.700,0.024
model.000.06.pdb,0.370,0.086,0.027,0.455,0.551,0.444,0.095,0.000,0.000,0.674
model.000.07.pdb,0.109,0.429,0.644,0.100,0.090,0.119,0.500,0.228,0.531,0.042
model.000.08.pdb,0.076,0.000,0.000,0.085,0.123,0.087,0.000,0.000,0.000,0.213
model.000.09.pdb,0.086,0.327,0.646,0.093,0.054,0.081,0.420,0.293,0.538,0.026
