 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.217,0.277,0.491,0.043,0.172,0.141,0.254,0.145,0.130
model.000.01.pdb,0.217,1.000,0.096,0.274,0.255,0.161,0.458,0.092,0.111,0.389
model.000.02.pdb,0.277,0.096,1.000,0.171,0.013,0.000,0.013,0.653,0.373,0.012
model.000.03.pdb,0.491,0.274,0.171,1.000,0.083,0.423,0.295,0.127,0.045,0.377
model.000.04.pdb,0.043,0.255,0.013,0.083,1.000,0.103,0.353,0.014,0.017,0.276
model.000.05.pdb,0.172,0.161,0.000,0.423,0.103,1.000,0.275,0.000,0.000,0.556
model.000.06.pdb,0.141,0.458,0.013,0.295,0.353,0.275,1.000,0.029,0.053,0.531
model.000.07.pdb,0.254,0.092,0.653,0.127,0.014,0.000,0.029,1.000,0.564,0.013
model.000.08.pdb,0.145,0.111,0.373,0.045,0.017,0.000,0.053,0.564,1.000,0.016
model.000.09.pdb,0.130,0.389,0.012,0.377,0.276,0.556,0.531,0.013,0.016,1.000
