 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.164,0.047,0.066,0.235,0.143,0.139,0.043,0.453,0.038,0.110
model.000.01.pdb,0.581,0.163,0.127,0.542,0.667,0.636,0.260,0.000,0.075,0.543
model.000.02.pdb,0.069,0.347,0.509,0.064,0.068,0.066,0.333,0.310,0.588,0.026
model.000.03.pdb,0.104,0.312,0.711,0.081,0.101,0.130,0.438,0.123,0.696,0.055
model.000.04.pdb,0.354,0.038,0.030,0.291,0.457,0.380,0.091,0.000,0.030,0.447
model.000.05.pdb,0.627,0.358,0.194,0.618,0.604,0.642,0.345,0.038,0.145,0.458
model.000.06.pdb,0.056,0.280,0.368,0.052,0.013,0.026,0.207,0.480,0.411,0.000
model.000.07.pdb,0.532,0.130,0.071,0.696,0.480,0.490,0.117,0.145,0.027,0.415
model.000.08.pdb,0.130,0.426,0.723,0.120,0.127,0.139,0.521,0.132,0.745,0.066
model.000.09.pdb,0.510,0.158,0.081,0.694,0.491,0.500,0.143,0.152,0.038,0.404
