,A10,A4,B10,B3,C6,D3
A10,0.0,,,,,
A4,0.6537999999999999,0.0,,,,
B10,0.6154,0.19049999999999997,0.0,,,
B3,0.6537999999999999,0.3333,0.23329999999999998,0.0,,
C6,0.6923,0.19049999999999997,0.2,0.23329999999999998,0.0,
D3,0.6923,0.381,0.3333,0.43329999999999996,0.27590000000000003,0.0
G3,0.7692,0.28569999999999995,0.43329999999999996,0.6333,0.4483,0.5667
