 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
finalmodel.000.00.det_cont.csv,0.177,0.269,0.074,0.255,0.439,0.000,0.308,0.101,0.320,0.629,0.000,0.000,0.194,0.207,0.013,0.644,0.169,0.000,0.000,0.026,0.069,0.200,0.050,0.025,0.150,0.121,0.000,0.477,0.114,0.566
finalmodel.000.01.det_cont.csv,0.729,0.551,0.492,0.298,0.327,0.310,0.345,0.593,0.357,0.063,0.136,0.230,0.448,0.333,0.344,0.273,0.623,0.169,0.152,0.189,0.526,0.246,0.377,0.438,0.197,0.312,0.271,0.271,0.239,0.224
finalmodel.000.02.det_cont.csv,0.295,0.200,0.431,0.429,0.182,0.059,0.213,0.262,0.108,0.167,0.086,0.076,0.250,0.617,0.414,0.127,0.155,0.075,0.500,0.474,0.339,0.469,0.045,0.375,0.562,0.509,0.340,0.127,0.714,0.113
finalmodel.000.03.det_cont.csv,0.462,0.643,0.304,0.264,0.590,0.131,0.543,0.254,0.533,0.154,0.000,0.079,0.453,0.237,0.113,0.481,0.491,0.015,0.015,0.052,0.250,0.211,0.245,0.164,0.125,0.167,0.046,0.545,0.110,0.410
finalmodel.000.04.det_cont.csv,0.284,0.386,0.176,0.203,0.440,0.082,0.446,0.141,0.580,0.400,0.000,0.040,0.299,0.169,0.060,0.740,0.309,0.000,0.000,0.022,0.139,0.162,0.169,0.092,0.108,0.101,0.013,0.529,0.071,0.627
finalmodel.000.05.det_cont.csv,0.119,0.153,0.187,0.500,0.196,0.000,0.250,0.130,0.115,0.341,0.000,0.000,0.288,0.358,0.130,0.226,0.083,0.000,0.214,0.176,0.162,0.619,0.032,0.151,0.511,0.206,0.098,0.136,0.333,0.197
finalmodel.000.06.det_cont.csv,0.308,0.525,0.206,0.311,0.500,0.052,0.615,0.203,0.326,0.209,0.000,0.017,0.380,0.300,0.060,0.353,0.315,0.000,0.070,0.090,0.200,0.298,0.160,0.132,0.231,0.211,0.017,0.429,0.217,0.322
finalmodel.000.07.det_cont.csv,0.099,0.203,0.034,0.232,0.306,0.000,0.352,0.038,0.315,0.442,0.000,0.000,0.197,0.190,0.000,0.436,0.110,0.000,0.060,0.025,0.012,0.203,0.030,0.024,0.175,0.053,0.014,0.429,0.107,0.419
finalmodel.000.08.det_cont.csv,0.482,0.617,0.347,0.276,0.605,0.152,0.560,0.323,0.551,0.175,0.031,0.119,0.474,0.250,0.162,0.474,0.509,0.027,0.041,0.073,0.299,0.226,0.281,0.211,0.145,0.200,0.103,0.531,0.128,0.409
finalmodel.000.09.det_cont.csv,0.441,0.300,0.778,0.254,0.151,0.319,0.208,0.554,0.182,0.025,0.155,0.250,0.375,0.397,0.507,0.138,0.443,0.197,0.358,0.373,0.700,0.282,0.333,0.698,0.362,0.523,0.452,0.139,0.451,0.113
