 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.000,0.557,0.069,0.072,0.064
model.000.01.pdb,0.203,0.071,0.760,0.012,0.667
model.000.02.pdb,0.012,0.593,0.037,0.039,0.058
model.000.03.pdb,0.030,0.095,0.264,0.000,0.104
model.000.04.pdb,0.067,0.366,0.022,0.213,0.052
