 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb
model.000.00.pdb,0.036,0.191,0.000,0.000,0.114
model.000.01.pdb,0.105,0.436,0.042,0.450,0.024
model.000.02.pdb,0.411,0.054,0.324,0.013,0.667
model.000.03.pdb,0.000,0.148,0.011,0.000,0.075
model.000.04.pdb,0.143,0.210,0.127,0.636,0.025
