,1190.0,1276.0,1262.0,1269.0,1202.0,1266.0,1267.0,1268.0,1245.0,1260.0
1190.0,0.0,0.01,0.04125,0.04875,0.00375,0.0525,0.00625,0.01375,0.03375,0.01375
1276.0,0.01,0.0,0.01,0.0475,0.01125,0.02875,0.02125,0.0025,0.00625,0.0075
1262.0,0.04125,0.01,0.0,0.0025,0.0025,0.00875,0.00375,0.0075,0.0,0.00125
1269.0,0.04875,0.0475,0.0025,0.0,0.0025,0.00875,0.005,0.0275,0.005,0.0075
1202.0,0.00375,0.01125,0.0025,0.0025,0.0,0.0075,0.00125,0.0075,0.005,0.00375
1266.0,0.0525,0.02875,0.00875,0.00875,0.0075,0.0,0.0075,0.025,0.0025,0.0025
1267.0,0.00625,0.02125,0.00375,0.005,0.00125,0.0075,0.0,0.00375,0.00375,0.01125
1268.0,0.01375,0.0025,0.0075,0.0275,0.0075,0.025,0.00375,0.0,0.01,0.01625
1245.0,0.03375,0.00625,0.0,0.005,0.005,0.0025,0.00375,0.01,0.0,0.00125
1260.0,0.01375,0.0075,0.00125,0.0075,0.00375,0.0025,0.01125,0.01625,0.00125,0.0
