,1190.0,1276.0,1262.0,1269.0,1202.0,1266.0,1267.0,1268.0,1245.0,1260.0
1190.0,0.0,0.15,0.35,0.7,0.9,0.7,0.525,0.55,0.575,0.475
1276.0,0.15,0.0,0.325,0.525,0.725,0.625,0.375,0.55,0.425,0.325
1262.0,0.35,0.325,0.0,0.5,0.85,0.575,0.45,0.6,0.5,0.5
1269.0,0.7,0.525,0.5,0.0,0.75,0.675,0.675,0.775,0.725,0.6
1202.0,0.9,0.725,0.85,0.75,0.0,0.675,0.7,0.625,0.625,0.475
1266.0,0.7,0.625,0.575,0.675,0.675,0.0,0.45,0.45,0.5,0.475
1267.0,0.525,0.375,0.45,0.675,0.7,0.45,0.0,0.525,0.35,0.425
1268.0,0.55,0.55,0.6,0.775,0.625,0.45,0.525,0.0,0.35,0.425
1245.0,0.575,0.425,0.5,0.725,0.625,0.5,0.35,0.35,0.0,0.2
1260.0,0.475,0.325,0.5,0.6,0.475,0.475,0.425,0.425,0.2,0.0
