 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.087,0.340
model.000.01.pdb,0.000,0.378,0.106,0.558,0.197,0.157,0.643,0.051,0.000,0.045
model.000.02.pdb,0.000,0.558,0.130,0.500,0.529,0.483,0.213,0.031,0.084,0.000
model.000.03.pdb,0.015,0.340,0.072,0.511,0.194,0.155,0.628,0.050,0.000,0.061
model.000.04.pdb,0.033,0.611,0.302,0.432,0.327,0.242,0.204,0.137,0.025,0.000
model.000.05.pdb,0.000,0.000,0.000,0.000,0.027,0.024,0.000,0.000,0.158,0.263
model.000.06.pdb,0.033,0.541,0.388,0.292,0.333,0.246,0.123,0.118,0.067,0.000
model.000.07.pdb,0.031,0.632,0.327,0.396,0.281,0.191,0.327,0.127,0.024,0.000
model.000.08.pdb,0.352,0.030,0.162,0.028,0.000,0.000,0.293,0.333,0.000,0.250
model.000.09.pdb,0.055,0.059,0.037,0.149,0.012,0.022,0.386,0.075,0.000,0.339
