 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.014,0.345,0.000,0.000,0.000,0.000,0.275,0.000,0.288,0.364
model.000.01.pdb,0.024,0.492,0.000,0.000,0.000,0.000,0.157,0.000,0.051,0.569
model.000.02.pdb,0.082,0.103,0.164,0.025,0.000,0.085,0.159,0.028,0.630,0.122
model.000.03.pdb,0.000,0.283,0.000,0.000,0.000,0.000,0.524,0.000,0.082,0.088
model.000.04.pdb,0.000,0.145,0.057,0.000,0.000,0.016,0.234,0.000,0.538,0.062
model.000.05.pdb,0.829,0.000,0.288,0.129,0.236,0.259,0.000,0.346,0.029,0.068
model.000.06.pdb,0.549,0.000,0.164,0.078,0.263,0.149,0.000,0.276,0.000,0.107
model.000.07.pdb,0.172,0.000,0.364,0.143,0.017,0.245,0.000,0.145,0.362,0.059
model.000.08.pdb,0.000,0.411,0.000,0.000,0.000,0.000,0.245,0.000,0.015,0.152
model.000.09.pdb,0.000,0.393,0.000,0.000,0.000,0.000,0.161,0.000,0.000,0.172
