 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.426
model.000.01.pdb,0.062,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.417
model.000.02.pdb,0.628,0.429,0.111,0.000,0.136,0.000,0.028,0.513,0.500,0.000
model.000.03.pdb,0.028,0.085,0.175,0.548,0.392,0.326,0.592,0.086,0.085,0.000
model.000.04.pdb,0.056,0.121,0.339,0.404,0.385,0.409,0.386,0.143,0.140,0.000
model.000.05.pdb,0.136,0.048,0.027,0.000,0.000,0.000,0.000,0.016,0.016,0.210
model.000.06.pdb,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.266
model.000.07.pdb,0.000,0.000,0.000,0.033,0.000,0.000,0.041,0.000,0.000,0.500
model.000.08.pdb,0.013,0.046,0.200,0.643,0.415,0.383,0.608,0.047,0.046,0.000
model.000.09.pdb,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.382
