 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.227,0.565,0.014,0.643,0.000,0.438,0.523,0.115,0.113
model.000.01.pdb,0.227,1.000,0.185,0.000,0.196,0.082,0.326,0.311,0.000,0.594
model.000.02.pdb,0.565,0.185,1.000,0.012,0.463,0.014,0.549,0.510,0.083,0.095
model.000.03.pdb,0.014,0.000,0.012,1.000,0.038,0.000,0.000,0.013,0.333,0.000
model.000.04.pdb,0.643,0.196,0.463,0.038,1.000,0.000,0.310,0.574,0.230,0.100
model.000.05.pdb,0.000,0.082,0.014,0.000,0.000,1.000,0.097,0.015,0.000,0.160
model.000.06.pdb,0.438,0.326,0.549,0.000,0.310,0.097,1.000,0.370,0.014,0.222
model.000.07.pdb,0.523,0.311,0.510,0.013,0.574,0.015,0.370,1.000,0.159,0.208
model.000.08.pdb,0.115,0.000,0.083,0.333,0.230,0.000,0.014,0.159,1.000,0.016
model.000.09.pdb,0.113,0.594,0.095,0.000,0.100,0.160,0.222,0.208,0.016,1.000
