 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.000,0.271,0.548,0.000,0.250,0.294,0.000,0.346,0.000
model.000.01.pdb,0.000,1.000,0.000,0.000,0.558,0.000,0.000,0.304,0.000,0.362
model.000.02.pdb,0.271,0.000,1.000,0.134,0.000,0.056,0.069,0.038,0.110,0.023
model.000.03.pdb,0.548,0.000,0.134,1.000,0.000,0.375,0.396,0.000,0.420,0.013
model.000.04.pdb,0.000,0.558,0.000,0.000,1.000,0.000,0.000,0.180,0.000,0.500
model.000.05.pdb,0.250,0.000,0.056,0.375,0.000,1.000,0.811,0.000,0.651,0.013
model.000.06.pdb,0.294,0.000,0.069,0.396,0.000,0.811,1.000,0.000,0.800,0.000
model.000.07.pdb,0.000,0.304,0.038,0.000,0.180,0.000,0.000,1.000,0.000,0.120
model.000.08.pdb,0.346,0.000,0.110,0.420,0.000,0.651,0.800,0.000,1.000,0.000
model.000.09.pdb,0.000,0.362,0.023,0.013,0.500,0.013,0.000,0.120,0.000,1.000
