 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.333,0.000,0.391,0.188,0.121,0.321,0.000,0.264,0.133,0.152
model.000.01.pdb,0.000,0.266,0.000,0.040,0.015,0.000,0.259,0.000,0.014,0.083
model.000.02.pdb,0.431,0.023,0.103,0.074,0.169,0.110,0.000,0.147,0.013,0.192
model.000.03.pdb,0.217,0.026,0.413,0.185,0.065,0.315,0.031,0.214,0.327,0.085
model.000.04.pdb,0.000,0.290,0.000,0.013,0.000,0.000,0.489,0.000,0.113,0.069
model.000.05.pdb,0.141,0.000,0.477,0.328,0.065,0.420,0.000,0.236,0.255,0.000
model.000.06.pdb,0.175,0.000,0.535,0.393,0.098,0.500,0.000,0.302,0.228,0.000
model.000.07.pdb,0.039,0.132,0.000,0.012,0.143,0.000,0.043,0.014,0.000,0.012
model.000.08.pdb,0.219,0.000,0.522,0.414,0.092,0.490,0.000,0.281,0.194,0.012
model.000.09.pdb,0.000,0.508,0.000,0.000,0.000,0.000,0.491,0.000,0.157,0.254
