 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.241,0.271,0.250,0.000,0.000,0.477,0.511,0.000,0.000,0.320
model.000.01.pdb,0.431,0.542,0.027,0.000,0.000,0.528,0.526,0.054,0.000,0.519
model.000.02.pdb,0.014,0.025,0.545,0.000,0.000,0.090,0.145,0.000,0.000,0.042
model.000.03.pdb,0.435,0.276,0.000,0.000,0.000,0.143,0.228,0.220,0.000,0.226
model.000.04.pdb,0.053,0.046,0.325,0.000,0.000,0.115,0.208,0.000,0.000,0.073
model.000.05.pdb,0.000,0.000,0.123,0.115,0.302,0.000,0.000,0.000,0.143,0.000
model.000.06.pdb,0.000,0.012,0.046,0.108,0.259,0.043,0.013,0.000,0.152,0.014
model.000.07.pdb,0.000,0.014,0.583,0.052,0.088,0.051,0.015,0.000,0.032,0.000
model.000.08.pdb,0.447,0.434,0.000,0.000,0.000,0.222,0.286,0.312,0.000,0.396
model.000.09.pdb,0.426,0.442,0.000,0.000,0.000,0.204,0.268,0.348,0.000,0.404
