 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.604,0.013,0.000,0.063,0.642,0.356,0.000,0.431,0.387,0.000
model.000.01.pdb,0.469,0.000,0.000,0.000,0.233,0.675,0.000,0.111,0.521,0.000
model.000.02.pdb,0.214,0.000,0.000,0.340,0.228,0.068,0.000,0.134,0.211,0.000
model.000.03.pdb,0.000,0.354,0.154,0.078,0.000,0.000,0.703,0.000,0.000,0.140
model.000.04.pdb,0.518,0.000,0.000,0.063,0.450,0.429,0.000,0.257,0.483,0.000
model.000.05.pdb,0.000,0.392,0.320,0.042,0.000,0.000,0.643,0.000,0.000,0.246
model.000.06.pdb,0.600,0.000,0.000,0.113,0.577,0.389,0.000,0.313,0.446,0.000
model.000.07.pdb,0.053,0.104,0.000,0.472,0.174,0.000,0.200,0.145,0.013,0.000
model.000.08.pdb,0.536,0.013,0.000,0.118,0.692,0.266,0.000,0.516,0.318,0.000
model.000.09.pdb,0.183,0.097,0.000,0.537,0.323,0.026,0.069,0.260,0.090,0.000
