 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.510,0.143,0.110,0.012,0.000,0.531,0.084,0.000,0.132
model.000.01.pdb,0.000,0.125,0.489,0.000,0.000,0.014,0.148,0.000,0.000,0.600
model.000.02.pdb,0.491,0.000,0.000,0.114,0.446,0.370,0.000,0.225,0.569,0.000
model.000.03.pdb,0.000,0.438,0.067,0.141,0.041,0.000,0.489,0.093,0.000,0.078
model.000.04.pdb,0.569,0.014,0.000,0.113,0.708,0.250,0.000,0.544,0.328,0.000
model.000.05.pdb,0.126,0.310,0.173,0.021,0.136,0.094,0.083,0.359,0.088,0.033
model.000.06.pdb,0.000,0.628,0.102,0.072,0.041,0.000,0.308,0.153,0.000,0.061
model.000.07.pdb,0.102,0.000,0.000,0.362,0.117,0.034,0.000,0.043,0.138,0.000
model.000.08.pdb,0.000,0.115,0.000,0.358,0.056,0.000,0.347,0.025,0.000,0.015
model.000.09.pdb,0.123,0.133,0.000,0.358,0.230,0.000,0.082,0.266,0.014,0.000
