 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.175,0.197,0.154,0.400,0.000,0.408,0.370,0.143,0.024
model.000.01.pdb,0.203,0.000,0.036,0.000,0.000,0.254,0.000,0.000,0.000,0.011
model.000.02.pdb,0.000,0.571,0.365,0.457,0.476,0.000,0.356,0.650,0.108,0.134
model.000.03.pdb,0.053,0.418,0.153,0.436,0.194,0.013,0.090,0.279,0.500,0.517
model.000.04.pdb,0.045,0.136,0.059,0.097,0.125,0.000,0.069,0.155,0.521,0.203
model.000.05.pdb,0.000,0.532,0.262,0.521,0.333,0.000,0.196,0.469,0.279,0.281
model.000.06.pdb,0.273,0.000,0.028,0.000,0.000,0.479,0.000,0.000,0.000,0.083
model.000.07.pdb,0.000,0.353,0.175,0.296,0.327,0.000,0.208,0.468,0.271,0.197
model.000.08.pdb,0.014,0.207,0.293,0.203,0.158,0.106,0.102,0.111,0.000,0.096
model.000.09.pdb,0.053,0.000,0.169,0.000,0.104,0.066,0.141,0.083,0.000,0.000
