 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.566,0.000,0.000,0.000,0.000,0.296,0.000,0.029,0.356
model.000.01.pdb,0.000,0.655,0.000,0.000,0.000,0.000,0.219,0.000,0.039,0.443
model.000.02.pdb,0.150,0.056,0.245,0.074,0.000,0.155,0.068,0.067,0.444,0.106
model.000.03.pdb,0.159,0.000,0.182,0.510,0.571,0.392,0.000,0.388,0.000,0.000
model.000.04.pdb,0.321,0.000,0.375,0.472,0.457,0.565,0.000,0.683,0.000,0.000
model.000.05.pdb,0.000,0.473,0.000,0.000,0.000,0.000,0.236,0.000,0.111,0.560
model.000.06.pdb,0.000,0.706,0.000,0.000,0.000,0.000,0.276,0.000,0.169,0.474
model.000.07.pdb,0.000,0.164,0.000,0.042,0.016,0.000,0.083,0.000,0.000,0.014
model.000.08.pdb,0.167,0.000,0.169,0.500,0.628,0.389,0.000,0.385,0.000,0.000
model.000.09.pdb,0.000,0.577,0.000,0.000,0.000,0.000,0.169,0.000,0.060,0.436
