 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.365,0.013,0.000,0.458,0.000,0.000,0.118,0.000,0.640
model.000.01.pdb,0.000,0.237,0.012,0.043,0.263,0.000,0.000,0.099,0.000,0.527
model.000.02.pdb,0.250,0.000,0.060,0.525,0.034,0.271,0.265,0.000,0.269,0.058
model.000.03.pdb,0.037,0.214,0.160,0.012,0.167,0.000,0.000,0.111,0.000,0.371
model.000.04.pdb,0.556,0.000,0.218,0.500,0.000,0.239,0.261,0.000,0.292,0.000
model.000.05.pdb,0.000,0.100,0.087,0.000,0.048,0.000,0.000,0.578,0.000,0.000
model.000.06.pdb,0.082,0.030,0.085,0.063,0.000,0.098,0.153,0.106,0.180,0.000
model.000.07.pdb,0.048,0.136,0.056,0.065,0.158,0.000,0.000,0.014,0.000,0.368
model.000.08.pdb,0.000,0.259,0.041,0.000,0.196,0.000,0.000,0.159,0.000,0.463
model.000.09.pdb,0.127,0.016,0.058,0.105,0.000,0.212,0.280,0.015,0.283,0.000
