 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.209,0.420,0.620,0.180,0.200,0.214,0.149,0.296,0.268,0.000
model.000.01.pdb,0.000,0.000,0.134,0.558,0.159,0.312,0.379,0.000,0.000,0.056
model.000.02.pdb,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.279
model.000.03.pdb,0.327,0.575,0.431,0.085,0.167,0.154,0.085,0.378,0.340,0.000
model.000.04.pdb,0.129,0.030,0.013,0.000,0.000,0.000,0.000,0.015,0.015,0.197
model.000.05.pdb,0.043,0.087,0.276,0.073,0.000,0.120,0.010,0.024,0.012,0.128
model.000.06.pdb,0.213,0.391,0.644,0.083,0.044,0.173,0.026,0.235,0.185,0.000
model.000.07.pdb,0.164,0.059,0.000,0.000,0.151,0.000,0.062,0.152,0.227,0.000
model.000.08.pdb,0.469,0.550,0.161,0.033,0.302,0.035,0.134,0.794,0.722,0.000
model.000.09.pdb,0.565,0.378,0.161,0.000,0.045,0.000,0.000,0.271,0.292,0.000
