 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.113,0.000,0.068,0.000,0.222,0.042,0.014,0.000,0.231
model.000.01.pdb,0.161,0.000,0.136,0.283,0.309,0.000,0.014,0.186,0.690,0.000
model.000.02.pdb,0.346,0.069,0.509,0.051,0.453,0.000,0.305,0.389,0.206,0.015
model.000.03.pdb,0.158,0.000,0.134,0.300,0.304,0.000,0.014,0.183,0.600,0.000
model.000.04.pdb,0.130,0.019,0.246,0.074,0.236,0.000,0.115,0.222,0.218,0.000
model.000.05.pdb,0.030,0.304,0.026,0.013,0.027,0.196,0.103,0.090,0.000,0.477
model.000.06.pdb,0.132,0.000,0.250,0.029,0.136,0.000,0.098,0.182,0.100,0.000
model.000.07.pdb,0.102,0.000,0.190,0.149,0.200,0.000,0.043,0.167,0.315,0.000
model.000.08.pdb,0.000,0.000,0.000,0.660,0.000,0.000,0.000,0.000,0.185,0.000
model.000.09.pdb,0.042,0.031,0.012,0.554,0.065,0.000,0.000,0.067,0.397,0.075
