 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.288,0.037,0.027,0.293,0.000,0.000,0.141,0.000,0.554
model.000.01.pdb,0.278,0.000,0.538,0.129,0.000,0.061,0.092,0.041,0.136,0.000
model.000.02.pdb,0.049,0.000,0.210,0.000,0.000,0.000,0.015,0.224,0.029,0.000
model.000.03.pdb,0.237,0.000,0.037,0.423,0.057,0.233,0.230,0.000,0.234,0.075
model.000.04.pdb,0.086,0.147,0.074,0.100,0.185,0.000,0.000,0.051,0.012,0.413
model.000.05.pdb,0.000,0.511,0.013,0.000,0.400,0.000,0.000,0.267,0.000,0.547
model.000.06.pdb,0.367,0.000,0.147,0.283,0.000,0.259,0.327,0.014,0.327,0.000
model.000.07.pdb,0.108,0.050,0.274,0.092,0.064,0.000,0.000,0.000,0.011,0.218
model.000.08.pdb,0.000,0.400,0.024,0.013,0.520,0.000,0.000,0.171,0.000,0.833
model.000.09.pdb,0.062,0.076,0.081,0.014,0.029,0.061,0.092,0.118,0.136,0.000
