 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.056,0.000,0.600,0.013,0.200,0.622,0.000,0.291,0.164
model.000.01.pdb,0.056,1.000,0.000,0.015,0.000,0.058,0.015,0.000,0.000,0.000
model.000.02.pdb,0.000,0.000,1.000,0.000,0.442,0.033,0.000,0.176,0.000,0.079
model.000.03.pdb,0.600,0.015,0.000,1.000,0.029,0.158,0.625,0.000,0.340,0.286
model.000.04.pdb,0.013,0.000,0.442,0.029,1.000,0.175,0.044,0.109,0.015,0.190
model.000.05.pdb,0.200,0.058,0.033,0.158,0.175,1.000,0.290,0.000,0.000,0.087
model.000.06.pdb,0.622,0.015,0.000,0.625,0.044,0.290,1.000,0.000,0.185,0.231
model.000.07.pdb,0.000,0.000,0.176,0.000,0.109,0.000,0.000,1.000,0.125,0.102
model.000.08.pdb,0.291,0.000,0.000,0.340,0.015,0.000,0.185,0.125,1.000,0.240
model.000.09.pdb,0.164,0.000,0.079,0.286,0.190,0.087,0.231,0.102,0.240,1.000
