 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.027,0.050,0.000,0.000,0.333,0.075
model.000.01.pdb,0.000,0.000,0.000,0.000,0.164,0.178,0.000,0.000,0.525,0.028
model.000.02.pdb,0.000,0.333,0.063,0.452,0.634,0.531,0.145,0.000,0.097,0.000
model.000.03.pdb,0.000,0.026,0.071,0.000,0.071,0.101,0.000,0.000,0.645,0.036
model.000.04.pdb,0.000,0.677,0.189,0.462,0.500,0.340,0.157,0.000,0.042,0.000
model.000.05.pdb,0.477,0.000,0.076,0.000,0.000,0.000,0.000,0.224,0.000,0.081
model.000.06.pdb,0.367,0.051,0.177,0.063,0.000,0.000,0.327,0.378,0.000,0.150
model.000.07.pdb,0.000,0.017,0.000,0.015,0.180,0.250,0.000,0.000,0.585,0.000
model.000.08.pdb,0.000,0.000,0.000,0.000,0.028,0.080,0.000,0.000,0.441,0.030
model.000.09.pdb,0.189,0.094,0.169,0.125,0.000,0.000,0.444,0.289,0.000,0.161
