 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.027,0.078,0.000,0.000,0.426,0.076
model.000.01.pdb,0.000,0.000,0.000,0.000,0.064,0.123,0.000,0.000,0.532,0.068
model.000.02.pdb,0.000,0.390,0.079,0.442,0.700,0.551,0.143,0.000,0.096,0.000
model.000.03.pdb,0.294,0.089,0.161,0.100,0.000,0.000,0.417,0.326,0.000,0.153
model.000.04.pdb,0.241,0.148,0.327,0.155,0.014,0.000,0.438,0.409,0.000,0.062
model.000.05.pdb,0.000,0.033,0.028,0.015,0.177,0.246,0.000,0.000,0.574,0.000
model.000.06.pdb,0.000,0.000,0.000,0.000,0.179,0.225,0.000,0.000,0.655,0.027
model.000.07.pdb,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.347
model.000.08.pdb,0.373,0.048,0.188,0.061,0.000,0.000,0.358,0.383,0.000,0.161
model.000.09.pdb,0.000,0.000,0.000,0.000,0.088,0.155,0.000,0.000,0.509,0.029
