 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.549,0.467,0.107,0.000,0.612,0.000,0.542,0.014,0.429,0.099
model.000.01.pdb,0.673,0.451,0.077,0.000,0.500,0.000,0.491,0.066,0.571,0.117
model.000.02.pdb,0.043,0.000,0.222,0.118,0.043,0.068,0.081,0.610,0.123,0.479
model.000.03.pdb,0.000,0.000,0.000,0.220,0.000,0.367,0.000,0.045,0.000,0.000
model.000.04.pdb,0.000,0.000,0.000,0.409,0.000,0.581,0.000,0.076,0.000,0.000
model.000.05.pdb,0.571,0.231,0.176,0.000,0.426,0.000,0.500,0.109,0.696,0.246
model.000.06.pdb,0.766,0.296,0.245,0.000,0.537,0.000,0.696,0.100,0.714,0.262
model.000.07.pdb,0.088,0.326,0.000,0.000,0.156,0.000,0.095,0.000,0.027,0.000
model.000.08.pdb,0.000,0.000,0.000,0.204,0.000,0.340,0.000,0.014,0.000,0.000
model.000.09.pdb,0.660,0.444,0.130,0.000,0.472,0.000,0.553,0.059,0.549,0.149
