 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.370,0.636,0.093,0.217,0.117,0.000,0.025,0.000,0.293,0.276
model.000.01.pdb,0.034,0.262,0.000,0.364,0.000,0.000,0.000,0.000,0.676,0.743
model.000.02.pdb,0.326,0.106,0.383,0.143,0.562,0.000,0.000,0.149,0.036,0.000
model.000.03.pdb,0.000,0.000,0.047,0.000,0.000,0.465,0.264,0.167,0.000,0.000
model.000.04.pdb,0.298,0.343,0.093,0.431,0.136,0.000,0.000,0.000,0.500,0.370
model.000.05.pdb,0.000,0.000,0.014,0.000,0.000,0.380,0.352,0.107,0.000,0.000
model.000.06.pdb,0.380,0.371,0.149,0.308,0.192,0.000,0.000,0.015,0.346,0.255
model.000.07.pdb,0.236,0.063,0.407,0.000,0.173,0.143,0.070,0.477,0.000,0.000
model.000.08.pdb,0.500,0.569,0.153,0.138,0.172,0.000,0.025,0.043,0.206,0.190
model.000.09.pdb,0.460,0.141,0.588,0.029,0.404,0.116,0.066,0.296,0.014,0.000
