 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.327,0.169,0.000,0.564,0.000,0.620,0.053,0.776,0.181
model.000.01.pdb,0.327,1.000,0.018,0.000,0.377,0.000,0.283,0.000,0.233,0.000
model.000.02.pdb,0.169,0.018,1.000,0.000,0.190,0.000,0.280,0.125,0.228,0.308
model.000.03.pdb,0.000,0.000,0.000,1.000,0.000,0.632,0.000,0.204,0.000,0.061
model.000.04.pdb,0.564,0.377,0.190,0.000,1.000,0.000,0.723,0.026,0.500,0.133
model.000.05.pdb,0.000,0.000,0.000,0.632,0.000,1.000,0.000,0.145,0.000,0.027
model.000.06.pdb,0.620,0.283,0.280,0.000,0.723,0.000,1.000,0.056,0.608,0.194
model.000.07.pdb,0.053,0.000,0.125,0.204,0.026,0.145,0.056,1.000,0.110,0.411
model.000.08.pdb,0.776,0.233,0.228,0.000,0.500,0.000,0.608,0.110,1.000,0.265
model.000.09.pdb,0.181,0.000,0.308,0.061,0.133,0.027,0.194,0.411,0.265,1.000
