 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.078,0.114,0.000,0.577,0.181,0.000,0.169,0.167,0.024,0.000
model.000.01.pdb,0.000,0.259,0.000,0.263,0.056,0.000,0.320,0.110,0.000,0.015
model.000.02.pdb,0.000,0.773,0.281,0.065,0.012,0.000,0.434,0.110,0.000,0.182
model.000.03.pdb,0.000,0.232,0.561,0.000,0.000,0.000,0.264,0.000,0.000,0.605
model.000.04.pdb,0.000,0.056,0.111,0.145,0.000,0.000,0.259,0.000,0.000,0.271
model.000.05.pdb,0.000,0.383,0.579,0.000,0.000,0.000,0.312,0.000,0.000,0.354
model.000.06.pdb,0.000,0.093,0.222,0.036,0.000,0.000,0.250,0.000,0.000,0.577
model.000.07.pdb,0.000,0.155,0.000,0.365,0.042,0.000,0.327,0.039,0.000,0.015
model.000.08.pdb,0.000,0.115,0.000,0.412,0.042,0.000,0.294,0.038,0.000,0.000
model.000.09.pdb,0.431,0.000,0.014,0.000,0.232,0.660,0.000,0.123,0.500,0.026
