 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.044,0.130,0.125,0.014,0.000,0.062,0.121,0.015,0.595,0.172
model.000.01.pdb,0.000,0.207,0.000,0.000,0.000,0.000,0.541,0.000,0.341,0.063
model.000.02.pdb,0.095,0.143,0.141,0.024,0.000,0.082,0.103,0.027,0.400,0.308
model.000.03.pdb,0.092,0.000,0.190,0.706,0.382,0.421,0.000,0.322,0.026,0.000
model.000.04.pdb,0.099,0.090,0.273,0.108,0.014,0.188,0.108,0.106,0.609,0.093
model.000.05.pdb,0.000,0.540,0.000,0.000,0.000,0.000,0.208,0.000,0.015,0.254
model.000.06.pdb,0.013,0.269,0.014,0.000,0.000,0.000,0.263,0.000,0.321,0.367
model.000.07.pdb,0.086,0.122,0.193,0.053,0.000,0.121,0.186,0.044,0.756,0.096
model.000.08.pdb,0.116,0.000,0.408,0.446,0.148,0.442,0.000,0.333,0.177,0.000
model.000.09.pdb,0.000,0.271,0.000,0.000,0.000,0.000,0.676,0.000,0.231,0.091
