 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.150,0.159,0.321,0.000,0.000,0.000,0.167,0.000
model.000.01.pdb,0.566,0.655,0.056,0.000,0.000,0.473,0.706,0.164,0.000,0.577
model.000.02.pdb,0.000,0.000,0.245,0.182,0.375,0.000,0.000,0.000,0.169,0.000
model.000.03.pdb,0.000,0.000,0.074,0.510,0.472,0.000,0.000,0.042,0.500,0.000
model.000.04.pdb,0.000,0.000,0.000,0.571,0.457,0.000,0.000,0.016,0.628,0.000
model.000.05.pdb,0.000,0.000,0.155,0.392,0.565,0.000,0.000,0.000,0.389,0.000
model.000.06.pdb,0.296,0.219,0.068,0.000,0.000,0.236,0.276,0.083,0.000,0.169
model.000.07.pdb,0.000,0.000,0.067,0.388,0.683,0.000,0.000,0.000,0.385,0.000
model.000.08.pdb,0.029,0.039,0.444,0.000,0.000,0.111,0.169,0.000,0.000,0.060
model.000.09.pdb,0.356,0.443,0.106,0.000,0.000,0.560,0.474,0.014,0.000,0.436
