 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.054,0.014,0.067,0.373,0.418,0.000,0.000,0.390,0.000
model.000.01.pdb,0.000,0.014,0.062,0.000,0.089,0.146,0.000,0.000,0.690,0.000
model.000.02.pdb,0.000,0.241,0.040,0.385,0.560,0.623,0.121,0.000,0.111,0.000
model.000.03.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.141,0.182
model.000.04.pdb,0.000,0.040,0.000,0.163,0.312,0.365,0.054,0.000,0.154,0.000
model.000.05.pdb,0.172,0.286,0.762,0.172,0.138,0.093,0.094,0.340,0.024,0.000
model.000.06.pdb,0.286,0.155,0.696,0.059,0.083,0.049,0.042,0.426,0.084,0.000
model.000.07.pdb,0.000,0.436,0.081,0.743,0.457,0.389,0.260,0.000,0.026,0.000
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.221,0.117
model.000.09.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.224,0.119
