 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.327,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.025
model.000.01.pdb,0.172,0.000,0.068,0.000,0.000,0.226,0.000,0.000,0.000,0.012
model.000.02.pdb,0.000,0.240,0.396,0.235,0.289,0.032,0.213,0.192,0.000,0.029
model.000.03.pdb,0.160,0.000,0.047,0.000,0.013,0.173,0.067,0.037,0.000,0.011
model.000.04.pdb,0.000,0.261,0.500,0.255,0.500,0.000,0.514,0.450,0.000,0.015
model.000.05.pdb,0.153,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.200,0.013
model.000.06.pdb,0.061,0.193,0.043,0.190,0.085,0.000,0.033,0.133,0.721,0.345
model.000.07.pdb,0.095,0.000,0.091,0.000,0.033,0.148,0.033,0.015,0.000,0.000
model.000.08.pdb,0.186,0.000,0.000,0.000,0.000,0.164,0.000,0.000,0.000,0.000
model.000.09.pdb,0.015,0.333,0.078,0.300,0.132,0.000,0.054,0.208,0.522,0.396
