 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.000,0.220,0.000,0.000,0.000,0.079,0.564,0.000,0.062
model.000.01.pdb,0.000,1.000,0.241,0.525,0.396,0.271,0.235,0.057,0.013,0.000
model.000.02.pdb,0.220,0.241,1.000,0.125,0.114,0.075,0.088,0.396,0.059,0.000
model.000.03.pdb,0.000,0.525,0.125,1.000,0.358,0.333,0.360,0.034,0.000,0.000
model.000.04.pdb,0.000,0.396,0.114,0.358,1.000,0.686,0.121,0.000,0.169,0.000
model.000.05.pdb,0.000,0.271,0.075,0.333,0.686,1.000,0.108,0.000,0.241,0.000
model.000.06.pdb,0.079,0.235,0.088,0.360,0.121,0.108,1.000,0.125,0.000,0.077
model.000.07.pdb,0.564,0.057,0.396,0.034,0.000,0.000,0.125,1.000,0.000,0.033
model.000.08.pdb,0.000,0.013,0.059,0.000,0.169,0.241,0.000,0.000,1.000,0.012
model.000.09.pdb,0.062,0.000,0.000,0.000,0.000,0.000,0.077,0.033,0.012,1.000
