 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.063,0.092,0.000,0.435,0.017,0.000,0.000,0.000,0.388,0.288
model.000.01.pdb,0.000,0.000,0.177,0.000,0.094,0.131,0.043,0.409,0.000,0.000
model.000.02.pdb,0.228,0.049,0.418,0.000,0.145,0.156,0.083,0.457,0.000,0.000
model.000.03.pdb,0.000,0.000,0.175,0.000,0.093,0.111,0.042,0.400,0.000,0.000
model.000.04.pdb,0.109,0.013,0.190,0.000,0.038,0.354,0.190,0.381,0.000,0.000
model.000.05.pdb,0.115,0.105,0.070,0.634,0.089,0.000,0.000,0.000,0.380,0.308
model.000.06.pdb,0.071,0.056,0.172,0.000,0.039,0.455,0.308,0.267,0.000,0.000
model.000.07.pdb,0.032,0.025,0.141,0.000,0.018,0.353,0.237,0.319,0.000,0.000
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.119,0.129,0.000,0.000,0.000
model.000.09.pdb,0.000,0.000,0.051,0.088,0.030,0.026,0.000,0.091,0.027,0.027
