 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.254,0.254,0.210,0.458,0.000,0.468,0.542,0.127,0.091
model.000.01.pdb,0.127,0.045,0.000,0.094,0.000,0.029,0.000,0.015,0.562,0.215
model.000.02.pdb,0.217,0.000,0.041,0.000,0.000,0.451,0.000,0.000,0.000,0.025
model.000.03.pdb,0.000,0.294,0.392,0.241,0.676,0.000,0.649,0.692,0.059,0.056
model.000.04.pdb,0.104,0.000,0.100,0.000,0.030,0.172,0.031,0.014,0.000,0.000
model.000.05.pdb,0.000,0.000,0.044,0.000,0.075,0.000,0.164,0.111,0.021,0.000
model.000.06.pdb,0.000,0.136,0.241,0.133,0.432,0.000,0.632,0.426,0.028,0.013
model.000.07.pdb,0.017,0.163,0.107,0.160,0.019,0.132,0.020,0.018,0.000,0.117
model.000.08.pdb,0.000,0.512,0.591,0.435,0.419,0.000,0.304,0.444,0.044,0.103
model.000.09.pdb,0.000,0.121,0.429,0.119,0.326,0.000,0.364,0.226,0.000,0.000
