 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.738,0.531,0.000,0.475,0.000,0.000,0.000,0.468,0.628,0.000
model.000.01.pdb,0.421,0.537,0.014,0.696,0.030,0.027,0.000,0.540,0.625,0.000
model.000.02.pdb,0.000,0.079,0.727,0.026,0.514,0.000,0.000,0.107,0.000,0.000
model.000.03.pdb,0.000,0.000,0.000,0.000,0.018,0.140,0.763,0.000,0.000,0.658
model.000.04.pdb,0.000,0.000,0.016,0.000,0.055,0.065,0.511,0.000,0.000,0.561
model.000.05.pdb,0.365,0.553,0.088,0.466,0.074,0.000,0.000,0.861,0.478,0.000
model.000.06.pdb,0.453,0.756,0.133,0.492,0.016,0.000,0.000,0.698,0.574,0.000
model.000.07.pdb,0.153,0.111,0.000,0.139,0.000,0.260,0.032,0.016,0.161,0.017
model.000.08.pdb,0.000,0.000,0.000,0.000,0.000,0.169,0.919,0.000,0.000,0.634
model.000.09.pdb,0.440,0.609,0.033,0.564,0.017,0.031,0.000,0.659,0.769,0.000
