 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.044,0.000,0.115,0.086,0.190,0.012,0.049,0.385,0.240,0.442
model.000.01.pdb,0.000,0.000,0.395,0.000,0.220,0.000,0.000,0.394,0.019,0.125
model.000.02.pdb,0.110,0.000,0.114,0.197,0.234,0.078,0.138,0.208,0.309,0.565
model.000.03.pdb,0.153,0.345,0.000,0.071,0.000,0.000,0.027,0.048,0.104,0.000
model.000.04.pdb,0.114,0.000,0.087,0.167,0.118,0.000,0.076,0.326,0.408,0.353
model.000.05.pdb,0.000,0.000,0.396,0.000,0.308,0.117,0.000,0.019,0.000,0.017
model.000.06.pdb,0.013,0.000,0.210,0.061,0.382,0.080,0.060,0.220,0.113,0.438
model.000.07.pdb,0.101,0.000,0.159,0.153,0.175,0.000,0.078,0.439,0.340,0.367
model.000.08.pdb,0.185,0.043,0.000,0.190,0.000,0.000,0.094,0.200,0.333,0.046
model.000.09.pdb,0.000,0.000,0.444,0.000,0.222,0.000,0.000,0.275,0.000,0.035
