 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.133,0.034,0.280,0.000,0.175,0.000,0.000,0.207
model.000.01.pdb,0.000,0.000,0.000,0.000,0.000,0.396,0.533,0.000,0.000,0.327
model.000.02.pdb,0.542,0.551,0.102,0.313,0.000,0.000,0.000,0.429,0.392,0.000
model.000.03.pdb,0.000,0.000,0.200,0.037,0.514,0.000,0.100,0.032,0.000,0.148
model.000.04.pdb,0.364,0.571,0.119,0.483,0.051,0.000,0.000,0.732,0.440,0.000
model.000.05.pdb,0.069,0.067,0.000,0.305,0.081,0.158,0.023,0.127,0.154,0.012
model.000.06.pdb,0.000,0.000,0.109,0.077,0.357,0.000,0.047,0.031,0.000,0.086
model.000.07.pdb,0.091,0.127,0.342,0.014,0.068,0.000,0.000,0.077,0.018,0.000
model.000.08.pdb,0.000,0.000,0.405,0.000,0.447,0.000,0.083,0.016,0.000,0.151
model.000.09.pdb,0.030,0.148,0.439,0.108,0.486,0.000,0.000,0.231,0.066,0.000
