 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.228,0.757,0.000,0.000,0.000,0.153,0.000,0.000,0.373
model.000.01.pdb,0.000,0.250,0.000,0.255,0.043,0.000,0.340,0.083,0.000,0.016
model.000.02.pdb,0.000,0.810,0.268,0.039,0.012,0.000,0.370,0.127,0.000,0.169
model.000.03.pdb,0.000,0.129,0.000,0.396,0.055,0.000,0.283,0.037,0.000,0.014
model.000.04.pdb,0.125,0.118,0.000,0.600,0.221,0.000,0.121,0.219,0.051,0.000
model.000.05.pdb,0.156,0.077,0.000,0.630,0.300,0.000,0.079,0.276,0.059,0.000
model.000.06.pdb,0.000,0.075,0.098,0.134,0.000,0.000,0.321,0.000,0.000,0.241
model.000.07.pdb,0.000,0.383,0.579,0.000,0.000,0.000,0.312,0.000,0.000,0.354
model.000.08.pdb,0.550,0.048,0.000,0.095,0.696,0.239,0.000,0.629,0.324,0.000
model.000.09.pdb,0.055,0.000,0.047,0.000,0.013,0.108,0.000,0.000,0.114,0.286
