 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.157,0.014,0.306,0.628,0.592,0.119,0.000,0.155,0.000
model.000.01.pdb,0.000,0.000,0.000,0.037,0.170,0.186,0.000,0.000,0.175,0.018
model.000.02.pdb,0.000,0.278,0.067,0.298,0.739,0.833,0.101,0.000,0.227,0.000
model.000.03.pdb,0.188,0.060,0.108,0.118,0.012,0.011,0.472,0.224,0.000,0.258
model.000.04.pdb,0.000,0.269,0.027,0.449,0.571,0.545,0.197,0.000,0.099,0.000
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.350,0.048
model.000.06.pdb,0.000,0.082,0.027,0.109,0.400,0.545,0.014,0.000,0.369,0.000
model.000.07.pdb,0.000,0.255,0.027,0.327,0.562,0.537,0.127,0.000,0.145,0.000
model.000.08.pdb,0.014,0.226,0.086,0.400,0.118,0.105,0.565,0.066,0.000,0.059
model.000.09.pdb,0.000,0.000,0.000,0.000,0.081,0.103,0.000,0.000,0.179,0.068
