 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.031,0.157,0.069,0.000,0.000,0.535,0.175,0.029,0.000,0.255
model.000.01.pdb,0.056,0.081,0.104,0.000,0.025,0.574,0.224,0.053,0.000,0.143
model.000.02.pdb,0.463,0.156,0.591,0.014,0.523,0.000,0.288,0.625,0.138,0.056
model.000.03.pdb,0.000,0.000,0.000,0.551,0.029,0.000,0.000,0.000,0.250,0.000
model.000.04.pdb,0.000,0.000,0.000,0.426,0.059,0.000,0.000,0.000,0.315,0.000
model.000.05.pdb,0.161,0.163,0.230,0.000,0.091,0.333,0.412,0.129,0.000,0.192
model.000.06.pdb,0.203,0.235,0.227,0.000,0.130,0.429,0.393,0.169,0.000,0.236
model.000.07.pdb,0.000,0.000,0.000,0.042,0.000,0.196,0.000,0.000,0.000,0.054
model.000.08.pdb,0.000,0.000,0.000,0.600,0.014,0.000,0.000,0.000,0.233,0.000
model.000.09.pdb,0.100,0.115,0.134,0.000,0.043,0.585,0.259,0.060,0.000,0.145
