 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.125,0.156,0.000,0.000,0.550,0.055
model.000.01.pdb,0.228,0.250,0.810,0.129,0.118,0.077,0.075,0.383,0.048,0.000
model.000.02.pdb,0.757,0.000,0.268,0.000,0.000,0.000,0.098,0.579,0.000,0.047
model.000.03.pdb,0.000,0.255,0.039,0.396,0.600,0.630,0.134,0.000,0.095,0.000
model.000.04.pdb,0.000,0.043,0.012,0.055,0.221,0.300,0.000,0.000,0.696,0.013
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.239,0.108
model.000.06.pdb,0.153,0.340,0.370,0.283,0.121,0.079,0.321,0.312,0.000,0.000
model.000.07.pdb,0.000,0.083,0.127,0.037,0.219,0.276,0.000,0.000,0.629,0.000
model.000.08.pdb,0.000,0.000,0.000,0.000,0.051,0.059,0.000,0.000,0.324,0.114
model.000.09.pdb,0.373,0.016,0.169,0.014,0.000,0.000,0.241,0.354,0.000,0.286
