 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.000,0.089,0.000,0.241,0.000,0.000,0.000,0.000
model.000.01.pdb,0.000,0.000,0.019,0.366,0.000,0.265,0.000,0.477,0.014,0.273
model.000.02.pdb,0.012,0.000,0.000,0.367,0.000,0.460,0.000,0.101,0.012,0.095
model.000.03.pdb,0.000,0.000,0.113,0.245,0.000,0.175,0.000,0.458,0.013,0.250
model.000.04.pdb,0.108,0.000,0.275,0.098,0.079,0.058,0.132,0.551,0.186,0.653
model.000.05.pdb,0.154,0.000,0.304,0.056,0.125,0.025,0.181,0.500,0.247,0.745
model.000.06.pdb,0.000,0.000,0.034,0.260,0.000,0.255,0.000,0.180,0.000,0.069
model.000.07.pdb,0.000,0.000,0.000,0.244,0.000,0.442,0.000,0.016,0.000,0.000
model.000.08.pdb,0.649,0.227,0.203,0.000,0.446,0.000,0.508,0.100,0.696,0.240
model.000.09.pdb,0.026,0.102,0.000,0.000,0.083,0.015,0.028,0.000,0.000,0.000
