 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.455,0.489,0.167,0.000,0.633,0.000,0.500,0.000,0.350,0.082
model.000.01.pdb,0.640,0.380,0.250,0.000,0.577,0.000,0.711,0.070,0.596,0.227
model.000.02.pdb,0.060,0.000,0.350,0.120,0.076,0.051,0.119,0.444,0.125,0.429
model.000.03.pdb,0.621,0.397,0.069,0.000,0.403,0.000,0.391,0.048,0.508,0.120
model.000.04.pdb,0.015,0.000,0.042,0.209,0.000,0.115,0.000,0.488,0.046,0.347
model.000.05.pdb,0.014,0.088,0.000,0.017,0.000,0.065,0.000,0.000,0.013,0.000
model.000.06.pdb,0.000,0.000,0.000,0.192,0.000,0.333,0.000,0.014,0.000,0.000
model.000.07.pdb,0.617,0.235,0.204,0.000,0.462,0.000,0.543,0.111,0.750,0.250
model.000.08.pdb,0.571,0.524,0.071,0.000,0.426,0.000,0.440,0.014,0.444,0.086
model.000.09.pdb,0.000,0.000,0.000,0.261,0.000,0.391,0.000,0.047,0.000,0.000
