 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.431
model.000.01.pdb,0.114,0.259,0.773,0.232,0.056,0.383,0.093,0.155,0.115,0.000
model.000.02.pdb,0.000,0.000,0.281,0.561,0.111,0.579,0.222,0.000,0.000,0.014
model.000.03.pdb,0.577,0.263,0.065,0.000,0.145,0.000,0.036,0.365,0.412,0.000
model.000.04.pdb,0.181,0.056,0.012,0.000,0.000,0.000,0.000,0.042,0.042,0.232
model.000.05.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.660
model.000.06.pdb,0.169,0.320,0.434,0.264,0.259,0.312,0.250,0.327,0.294,0.000
model.000.07.pdb,0.167,0.110,0.110,0.000,0.000,0.000,0.000,0.039,0.038,0.123
model.000.08.pdb,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500
model.000.09.pdb,0.000,0.015,0.182,0.605,0.271,0.354,0.577,0.015,0.000,0.026
