 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.370,0.034,0.326,0.000,0.298,0.000,0.380,0.236,0.500,0.460
model.000.01.pdb,0.636,0.262,0.106,0.000,0.343,0.000,0.371,0.063,0.569,0.141
model.000.02.pdb,0.093,0.000,0.383,0.047,0.093,0.014,0.149,0.407,0.153,0.588
model.000.03.pdb,0.217,0.364,0.143,0.000,0.431,0.000,0.308,0.000,0.138,0.029
model.000.04.pdb,0.117,0.000,0.562,0.000,0.136,0.000,0.192,0.173,0.172,0.404
model.000.05.pdb,0.000,0.000,0.000,0.465,0.000,0.380,0.000,0.143,0.000,0.116
model.000.06.pdb,0.025,0.000,0.000,0.264,0.000,0.352,0.000,0.070,0.025,0.066
model.000.07.pdb,0.000,0.000,0.149,0.167,0.000,0.107,0.015,0.477,0.043,0.296
model.000.08.pdb,0.293,0.676,0.036,0.000,0.500,0.000,0.346,0.000,0.206,0.014
model.000.09.pdb,0.276,0.743,0.000,0.000,0.370,0.000,0.255,0.000,0.190,0.000
