 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.795,0.000,0.000,0.533,0.000,0.000,0.316,0.000,0.286
model.000.01.pdb,0.294,0.000,0.069,0.396,0.000,0.718,0.889,0.000,0.756,0.000
model.000.02.pdb,0.578,0.000,0.155,0.714,0.000,0.309,0.327,0.000,0.351,0.012
model.000.03.pdb,0.241,0.000,0.068,0.360,0.000,0.700,0.816,0.000,0.825,0.000
model.000.04.pdb,0.722,0.000,0.217,0.537,0.000,0.260,0.306,0.000,0.333,0.000
model.000.05.pdb,0.000,0.543,0.000,0.000,0.795,0.000,0.000,0.152,0.000,0.439
model.000.06.pdb,0.525,0.000,0.333,0.348,0.000,0.170,0.189,0.000,0.264,0.000
model.000.07.pdb,0.610,0.000,0.222,0.426,0.000,0.340,0.388,0.000,0.412,0.000
model.000.08.pdb,0.059,0.057,0.078,0.028,0.014,0.090,0.138,0.129,0.164,0.000
model.000.09.pdb,0.056,0.099,0.012,0.069,0.100,0.305,0.300,0.025,0.281,0.099
