 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.121,0.179,0.151,0.000,0.066,0.490,0.306,0.097,0.000,0.203
model.000.01.pdb,0.000,0.039,0.000,0.000,0.000,0.622,0.015,0.000,0.000,0.115
model.000.02.pdb,0.390,0.581,0.288,0.000,0.306,0.057,0.362,0.512,0.105,0.385
model.000.03.pdb,0.035,0.000,0.045,0.164,0.138,0.000,0.000,0.085,0.250,0.000
model.000.04.pdb,0.088,0.245,0.105,0.000,0.066,0.431,0.266,0.097,0.000,0.315
model.000.05.pdb,0.000,0.000,0.014,0.242,0.075,0.000,0.000,0.045,0.224,0.000
model.000.06.pdb,0.150,0.326,0.162,0.000,0.118,0.388,0.333,0.156,0.000,0.347
model.000.07.pdb,0.360,0.071,0.560,0.026,0.442,0.000,0.293,0.431,0.175,0.016
model.000.08.pdb,0.190,0.241,0.232,0.000,0.123,0.370,0.439,0.176,0.000,0.241
model.000.09.pdb,0.521,0.250,0.660,0.000,0.455,0.043,0.569,0.500,0.039,0.148
