 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.000,0.188,0.000,0.000,0.000,0.000,0.014,0.000
model.000.01.pdb,0.157,0.000,0.278,0.060,0.269,0.000,0.082,0.255,0.226,0.000
model.000.02.pdb,0.014,0.000,0.067,0.108,0.027,0.000,0.027,0.027,0.086,0.000
model.000.03.pdb,0.306,0.037,0.298,0.118,0.449,0.000,0.109,0.327,0.400,0.000
model.000.04.pdb,0.628,0.170,0.739,0.012,0.571,0.000,0.400,0.562,0.118,0.081
model.000.05.pdb,0.592,0.186,0.833,0.011,0.545,0.027,0.545,0.537,0.105,0.103
model.000.06.pdb,0.119,0.000,0.101,0.472,0.197,0.000,0.014,0.127,0.565,0.000
model.000.07.pdb,0.000,0.000,0.000,0.224,0.000,0.000,0.000,0.000,0.066,0.000
model.000.08.pdb,0.155,0.175,0.227,0.000,0.099,0.350,0.369,0.145,0.000,0.179
model.000.09.pdb,0.000,0.018,0.000,0.258,0.000,0.048,0.000,0.000,0.059,0.068
