 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.014,0.185,0.062,0.013,0.226,0.000,0.000,0.079,0.000,0.419
model.000.01.pdb,0.000,0.362,0.014,0.000,0.260,0.000,0.000,0.278,0.000,0.415
model.000.02.pdb,0.000,0.053,0.000,0.135,0.204,0.093,0.071,0.000,0.049,0.246
model.000.03.pdb,0.395,0.000,0.164,0.271,0.000,0.245,0.292,0.000,0.269,0.000
model.000.04.pdb,0.000,0.305,0.000,0.027,0.382,0.000,0.000,0.108,0.000,0.544
model.000.05.pdb,0.294,0.000,0.203,0.218,0.000,0.175,0.214,0.028,0.220,0.000
model.000.06.pdb,0.000,0.263,0.000,0.044,0.315,0.000,0.000,0.069,0.000,0.509
model.000.07.pdb,0.500,0.000,0.127,0.667,0.000,0.273,0.291,0.000,0.339,0.012
model.000.08.pdb,0.041,0.114,0.074,0.069,0.149,0.000,0.000,0.025,0.000,0.348
model.000.09.pdb,0.321,0.013,0.133,0.364,0.071,0.103,0.101,0.000,0.143,0.101
