 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.538,0.000,0.000,0.000,0.458,0.551,0.155,0.000,0.578
model.000.01.pdb,0.538,1.000,0.043,0.000,0.000,0.529,0.585,0.190,0.000,0.717
model.000.02.pdb,0.000,0.043,1.000,0.000,0.016,0.086,0.113,0.000,0.000,0.049
model.000.03.pdb,0.000,0.000,0.000,1.000,0.558,0.000,0.000,0.016,0.750,0.000
model.000.04.pdb,0.000,0.000,0.016,0.558,1.000,0.000,0.000,0.000,0.543,0.000
model.000.05.pdb,0.458,0.529,0.086,0.000,0.000,1.000,0.609,0.032,0.000,0.568
model.000.06.pdb,0.551,0.585,0.113,0.000,0.000,0.609,1.000,0.076,0.000,0.667
model.000.07.pdb,0.155,0.190,0.000,0.016,0.000,0.032,0.076,1.000,0.030,0.138
model.000.08.pdb,0.000,0.000,0.000,0.750,0.543,0.000,0.000,0.030,1.000,0.000
model.000.09.pdb,0.578,0.717,0.049,0.000,0.000,0.568,0.667,0.138,0.000,1.000
