 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.278,0.049,0.237,0.086,0.000,0.367,0.108,0.000,0.062
model.000.01.pdb,0.288,0.000,0.000,0.000,0.147,0.511,0.000,0.050,0.400,0.076
model.000.02.pdb,0.037,0.538,0.210,0.037,0.074,0.013,0.147,0.274,0.024,0.081
model.000.03.pdb,0.027,0.129,0.000,0.423,0.100,0.000,0.283,0.092,0.013,0.014
model.000.04.pdb,0.293,0.000,0.000,0.057,0.185,0.400,0.000,0.064,0.520,0.029
model.000.05.pdb,0.000,0.061,0.000,0.233,0.000,0.000,0.259,0.000,0.000,0.061
model.000.06.pdb,0.000,0.092,0.015,0.230,0.000,0.000,0.327,0.000,0.000,0.092
model.000.07.pdb,0.141,0.041,0.224,0.000,0.051,0.267,0.014,0.000,0.171,0.118
model.000.08.pdb,0.000,0.136,0.029,0.234,0.012,0.000,0.327,0.011,0.000,0.136
model.000.09.pdb,0.554,0.000,0.000,0.075,0.413,0.547,0.000,0.218,0.833,0.000
