 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.500,0.139,0.000,0.145,0.000,0.049,0.479,0.469,0.000
model.000.01.pdb,0.500,1.000,0.286,0.016,0.169,0.035,0.070,0.605,0.550,0.000
model.000.02.pdb,0.139,0.286,1.000,0.281,0.082,0.380,0.117,0.183,0.143,0.000
model.000.03.pdb,0.000,0.016,0.281,1.000,0.228,0.538,0.375,0.016,0.000,0.014
model.000.04.pdb,0.145,0.169,0.082,0.228,1.000,0.119,0.509,0.283,0.302,0.000
model.000.05.pdb,0.000,0.035,0.380,0.538,0.119,1.000,0.217,0.036,0.017,0.000
model.000.06.pdb,0.049,0.070,0.117,0.375,0.509,0.217,1.000,0.119,0.118,0.000
model.000.07.pdb,0.479,0.605,0.183,0.016,0.283,0.036,0.119,1.000,0.794,0.000
model.000.08.pdb,0.469,0.550,0.143,0.000,0.302,0.017,0.118,0.794,1.000,0.000
model.000.09.pdb,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,1.000
