 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.000,0.000,0.092,0.593,0.491,0.000,0.333,0.604,0.000
model.000.01.pdb,0.000,1.000,0.302,0.040,0.013,0.000,0.358,0.101,0.000,0.175
model.000.02.pdb,0.000,0.302,1.000,0.000,0.000,0.000,0.196,0.000,0.000,0.353
model.000.03.pdb,0.092,0.040,0.000,1.000,0.164,0.000,0.101,0.110,0.077,0.000
model.000.04.pdb,0.593,0.013,0.000,0.164,1.000,0.266,0.000,0.516,0.359,0.000
model.000.05.pdb,0.491,0.000,0.000,0.000,0.266,1.000,0.000,0.115,0.667,0.000
model.000.06.pdb,0.000,0.358,0.196,0.101,0.000,0.000,1.000,0.000,0.000,0.220
model.000.07.pdb,0.333,0.101,0.000,0.110,0.516,0.115,0.000,1.000,0.177,0.000
model.000.08.pdb,0.604,0.000,0.000,0.077,0.359,0.667,0.000,0.177,1.000,0.000
model.000.09.pdb,0.000,0.175,0.353,0.000,0.000,0.000,0.220,0.000,0.000,1.000
