 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.217,0.000,0.048,0.132,0.500,0.145,0.000,0.193,0.000,0.000
model.000.01.pdb,0.308,0.000,0.463,0.180,0.070,0.320,0.000,0.260,0.185,0.091
model.000.02.pdb,0.756,0.000,0.246,0.137,0.309,0.222,0.000,0.345,0.014,0.092
model.000.03.pdb,0.217,0.000,0.444,0.222,0.065,0.315,0.000,0.214,0.327,0.055
model.000.04.pdb,0.145,0.117,0.203,0.064,0.000,0.132,0.090,0.057,0.500,0.239
model.000.05.pdb,0.101,0.146,0.162,0.034,0.000,0.090,0.125,0.025,0.431,0.319
model.000.06.pdb,0.136,0.000,0.457,0.549,0.214,0.587,0.000,0.373,0.145,0.000
model.000.07.pdb,0.388,0.000,0.176,0.161,0.605,0.222,0.000,0.370,0.000,0.000
model.000.08.pdb,0.022,0.556,0.000,0.000,0.000,0.000,0.214,0.000,0.130,0.583
model.000.09.pdb,0.000,0.051,0.000,0.234,0.079,0.043,0.095,0.014,0.000,0.000
