 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.219,0.000,0.015,0.000,0.111,0.431,0.000,0.036,0.317,0.106
model.000.01.pdb,0.000,0.092,0.031,0.210,0.000,0.000,0.380,0.000,0.000,0.109
model.000.02.pdb,0.038,0.134,0.000,0.481,0.137,0.000,0.233,0.127,0.012,0.013
model.000.03.pdb,0.000,0.075,0.031,0.206,0.000,0.000,0.296,0.000,0.000,0.143
model.000.04.pdb,0.000,0.314,0.051,0.203,0.057,0.000,0.413,0.081,0.000,0.063
model.000.05.pdb,0.254,0.000,0.000,0.054,0.157,0.396,0.000,0.061,0.455,0.028
model.000.06.pdb,0.000,0.435,0.034,0.167,0.058,0.000,0.333,0.129,0.000,0.048
model.000.07.pdb,0.000,0.315,0.065,0.172,0.026,0.000,0.568,0.077,0.000,0.076
model.000.08.pdb,0.000,0.149,0.333,0.000,0.000,0.000,0.210,0.000,0.000,0.750
model.000.09.pdb,0.024,0.025,0.086,0.049,0.000,0.038,0.129,0.000,0.074,0.306
