 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.542,0.000,0.364,0.069,0.000,0.091,0.000,0.030
model.000.01.pdb,0.000,0.000,0.551,0.000,0.571,0.067,0.000,0.127,0.000,0.148
model.000.02.pdb,0.133,0.000,0.102,0.200,0.119,0.000,0.109,0.342,0.405,0.439
model.000.03.pdb,0.034,0.000,0.313,0.037,0.483,0.305,0.077,0.014,0.000,0.108
model.000.04.pdb,0.280,0.000,0.000,0.514,0.051,0.081,0.357,0.068,0.447,0.486
model.000.05.pdb,0.000,0.396,0.000,0.000,0.000,0.158,0.000,0.000,0.000,0.000
model.000.06.pdb,0.175,0.533,0.000,0.100,0.000,0.023,0.047,0.000,0.083,0.000
model.000.07.pdb,0.000,0.000,0.429,0.032,0.732,0.127,0.031,0.077,0.016,0.231
model.000.08.pdb,0.000,0.000,0.392,0.000,0.440,0.154,0.000,0.018,0.000,0.066
model.000.09.pdb,0.207,0.327,0.000,0.148,0.000,0.012,0.086,0.000,0.151,0.000
