 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.121,0.000,0.390,0.035,0.088,0.000,0.150,0.360,0.190,0.521
model.000.01.pdb,0.179,0.039,0.581,0.000,0.245,0.000,0.326,0.071,0.241,0.250
model.000.02.pdb,0.151,0.000,0.288,0.045,0.105,0.014,0.162,0.560,0.232,0.660
model.000.03.pdb,0.000,0.000,0.000,0.164,0.000,0.242,0.000,0.026,0.000,0.000
model.000.04.pdb,0.066,0.000,0.306,0.138,0.066,0.075,0.118,0.442,0.123,0.455
model.000.05.pdb,0.490,0.622,0.057,0.000,0.431,0.000,0.388,0.000,0.370,0.043
model.000.06.pdb,0.306,0.015,0.362,0.000,0.266,0.000,0.333,0.293,0.439,0.569
model.000.07.pdb,0.097,0.000,0.512,0.085,0.097,0.045,0.156,0.431,0.176,0.500
model.000.08.pdb,0.000,0.000,0.105,0.250,0.000,0.224,0.000,0.175,0.000,0.039
model.000.09.pdb,0.203,0.115,0.385,0.000,0.315,0.000,0.347,0.016,0.241,0.148
