 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.418
model.000.01.pdb,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333
model.000.02.pdb,0.500,0.341,0.095,0.000,0.138,0.000,0.028,0.415,0.475,0.000
model.000.03.pdb,0.057,0.038,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.353
model.000.04.pdb,0.512,0.719,0.226,0.000,0.127,0.000,0.030,0.543,0.486,0.000
model.000.05.pdb,0.000,0.000,0.074,0.255,0.000,0.224,0.085,0.000,0.000,0.197
model.000.06.pdb,0.014,0.048,0.190,0.650,0.385,0.378,0.580,0.049,0.048,0.000
model.000.07.pdb,0.121,0.032,0.000,0.000,0.000,0.000,0.000,0.016,0.016,0.213
model.000.08.pdb,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.471
model.000.09.pdb,0.029,0.089,0.183,0.378,0.478,0.289,0.562,0.111,0.109,0.000
