 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.014,0.000,0.283,0.050,0.500,0.048,0.049,0.174,0.069,0.378
model.000.01.pdb,0.024,0.000,0.292,0.026,0.574,0.321,0.067,0.014,0.000,0.130
model.000.02.pdb,0.097,0.000,0.118,0.127,0.132,0.011,0.075,0.409,0.346,0.373
model.000.03.pdb,0.000,0.000,0.457,0.000,0.172,0.012,0.000,0.104,0.000,0.000
model.000.04.pdb,0.000,0.000,0.196,0.018,0.170,0.000,0.000,0.516,0.122,0.196
model.000.05.pdb,0.667,0.094,0.000,0.489,0.014,0.264,0.700,0.000,0.158,0.158
model.000.06.pdb,0.362,0.138,0.000,0.291,0.027,0.377,0.469,0.000,0.045,0.094
model.000.07.pdb,0.193,0.000,0.016,0.304,0.048,0.012,0.173,0.244,0.595,0.372
model.000.08.pdb,0.000,0.015,0.380,0.000,0.207,0.060,0.000,0.019,0.000,0.000
model.000.09.pdb,0.000,0.000,0.308,0.000,0.190,0.115,0.000,0.000,0.000,0.000
