 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.000,0.012,0.000,0.108,0.154,0.000,0.000,0.649,0.026
model.000.01.pdb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.227,0.102
model.000.02.pdb,0.000,0.019,0.000,0.113,0.275,0.304,0.034,0.000,0.203,0.000
model.000.03.pdb,0.089,0.366,0.367,0.245,0.098,0.056,0.260,0.244,0.000,0.000
model.000.04.pdb,0.000,0.000,0.000,0.000,0.079,0.125,0.000,0.000,0.446,0.083
model.000.05.pdb,0.241,0.265,0.460,0.175,0.058,0.025,0.255,0.442,0.000,0.015
model.000.06.pdb,0.000,0.000,0.000,0.000,0.132,0.181,0.000,0.000,0.508,0.028
model.000.07.pdb,0.000,0.477,0.101,0.458,0.551,0.500,0.180,0.016,0.100,0.000
model.000.08.pdb,0.000,0.014,0.012,0.013,0.186,0.247,0.000,0.000,0.696,0.000
model.000.09.pdb,0.000,0.273,0.095,0.250,0.653,0.745,0.069,0.000,0.240,0.000
